stime,dtime,proto,dip,dport,sip,sport,uplink_length,downlink_length,day,siptype,siplevel,sip_id,diptype,diplevel,dip_id
2017-11-13 09:41:06,2017-11-13 09:41:16,sftp,10.50.50.43,22,10.64.105.86,2383,2496,171,2017-11-13,development1,4,1324,0,0,0
2017-11-13 10:18:08,2017-11-13 10:18:21,http,10.50.50.26,443,10.64.105.86,2387,61364,7553364,2017-11-13,development1,4,1324,0,0,0
2017-11-13 10:18:10,2017-11-13 10:18:57,http,10.50.50.26,443,10.64.105.86,2399,729,1563959,2017-11-13,development1,4,1324,0,0,0
2017-11-13 10:18:12,2017-11-13 10:18:45,http,10.50.50.26,443,10.64.105.86,2461,167,4422844,2017-11-13,development1,4,1324,0,0,0
2017-11-13 10:19:04,2017-11-13 10:20:03,http,10.50.50.26,443,10.64.105.86,2437,1529,1511102,2017-11-13,development1,4,1324,0,0,0
2017-11-13 10:20:28,2017-11-13 10:21:03,http,10.50.50.26,443,10.64.105.86,2500,12234,1613169,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:08:43,2017-11-13 11:08:53,mongodb,10.50.50.44,8005,10.64.105.86,2519,2757,9173,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:08:43,2017-11-13 11:08:53,mongodb,10.50.50.44,8005,10.64.105.86,2519,1441,30001154,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:11:11,2017-11-13 11:11:27,http,10.5.71.60,443,10.64.105.86,2649,2527,7243264,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:11:20,2017-11-13 11:12:10,http,10.5.71.60,443,10.64.105.86,2652,14363,876609,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:11:28,2017-11-13 11:11:31,http,10.5.71.60,443,10.64.105.86,2687,37571,2143801,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:11:36,2017-11-13 11:12:30,http,10.7.133.20,80,10.64.105.86,3193,2144,26754,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:12:03,2017-11-13 11:12:35,http,10.5.71.60,443,10.64.105.86,2672,40297,8135171,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:12:33,2017-11-13 11:12:43,http,10.5.71.60,443,10.64.105.86,2712,29863,1101855,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:15:09,2017-11-13 11:15:11,http,10.5.71.60,443,10.64.105.86,2689,252,994250,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:16:58,2017-11-13 11:17:43,http,10.5.71.60,443,10.64.105.86,2713,184,1839587,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:25:35,2017-11-13 11:26:11,http,122.228.250.89,443,10.64.105.86,2527,4215,5954844,2017-11-13,development1,4,1324,0,0,0
2017-11-13 11:25:51,2017-11-13 11:25:57,http,122.228.250.89,443,10.64.105.86,2591,12123,4496257,2017-11-13,development1,4,1324,0,0,0
