记录数,dip,dipemailname,diplevel,diptype,downlink_length,dport,dtime,proto,sip,sipemailname,siplevel,siptype,sport,state,stime,uplink_length,user
1,10.50.50.44,0,0,0,188,22,2017/11/3 9:58:58,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 9:58:48,362,1080
1,10.50.50.44,0,0,0,187,22,2017/11/3 10:40:44,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 10:40:34,343,1080
1,10.50.50.44,0,0,0,134,22,2017/11/3 10:42:05,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 10:41:55,4426,1080
1,10.50.50.44,0,0,0,102,22,2017/11/3 10:49:42,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 10:49:32,116,1080
1,10.50.50.44,0,0,0,145,22,2017/11/3 11:25:52,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 11:25:42,2866,1080
1,10.50.50.44,0,0,0,105,22,2017/11/3 11:27:06,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 11:26:56,4440,1080
1,10.50.50.44,0,0,0,113,22,2017/11/3 12:01:44,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 12:01:34,4343,1080
1,10.50.50.44,0,0,0,119,22,2017/11/3 12:14:10,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 12:14:00,2862,1080
1,10.50.50.26,0,0,0,155,22,2017/11/3 12:14:49,ssh,10.64.105.4,1487@hightech.com,4,development1,2296,error,2017/11/3 12:14:39,1763,1487
1,10.50.50.26,0,0,0,189,54238,2017/11/3 13:51:05,tds,10.64.105.4,1487@hightech.com,4,development1,2836,error,2017/11/3 13:50:55,4995,1487
1,10.50.50.44,0,0,0,127,22,2017/11/3 14:44:07,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 14:43:57,4557,1080
1,10.50.50.44,0,0,0,105,22,2017/11/3 14:52:03,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 14:51:53,1671,1080
1,10.50.50.44,0,0,0,170,22,2017/11/3 15:09:21,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 15:09:11,503,1080
1,10.50.50.44,0,0,0,172,22,2017/11/3 15:10:39,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 15:10:29,3558,1080
1,10.50.50.44,0,0,0,182,22,2017/11/3 15:22:25,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 15:22:15,2133,1080
1,10.50.50.44,0,0,0,170,22,2017/11/3 15:39:21,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 15:39:11,3780,1080
1,10.50.50.44,0,0,0,123,22,2017/11/3 16:21:36,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 16:21:26,4101,1080
1,10.50.50.44,0,0,0,102,22,2017/11/3 16:30:27,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 16:30:17,2232,1080
1,10.50.50.44,0,0,0,125,22,2017/11/3 17:09:05,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 17:08:55,1045,1080
1,10.50.50.44,0,0,0,195,22,2017/11/3 17:36:27,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 17:36:17,891,1080
1,10.50.50.44,0,0,0,131,22,2017/11/3 17:39:54,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 17:39:44,458,1080
1,10.50.50.44,0,0,0,197,22,2017/11/3 18:10:14,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 18:10:04,448,1080
1,10.50.50.44,0,0,0,120,22,2017/11/3 18:27:35,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 18:27:25,1633,1080
1,10.50.50.44,0,0,0,170,22,2017/11/3 19:07:22,ssh,10.64.105.4,1487@hightech.com,4,development1,49195,error,2017/11/3 19:07:12,840,1080
1,10.50.50.44,0,0,0,116,22,2017/11/4 9:50:45,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 9:50:35,2662,1211
1,10.50.50.44,0,0,0,116,22,2017/11/4 11:00:50,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 11:00:40,3635,1211
1,10.50.50.44,0,0,0,155,22,2017/11/4 11:05:41,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 11:05:31,4790,1211
1,10.50.50.44,0,0,0,155,22,2017/11/4 11:30:29,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 11:30:19,4887,1211
1,10.50.50.44,0,0,0,111,22,2017/11/4 11:53:03,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 11:52:53,3971,1211
1,10.50.50.44,0,0,0,128,22,2017/11/4 12:20:34,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 12:20:24,4024,1211
1,10.50.50.44,0,0,0,198,22,2017/11/4 12:29:51,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 12:29:41,2835,1211
1,10.50.50.44,0,0,0,140,22,2017/11/4 12:41:48,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 12:41:38,2485,1211
1,10.50.50.44,0,0,0,107,22,2017/11/4 13:02:52,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 13:02:42,4780,1211
1,10.50.50.44,0,0,0,121,22,2017/11/4 14:56:38,ssh,10.64.105.4,1487@hightech.com,4,development1,49200,error,2017/11/4 14:56:28,50,1211
