from,time,num
alert@hightech.com,2017-11-16 20:01:00,2
alert@hightech.com,2017-11-16 20:06:00,2
alert@hightech.com,2017-11-16 20:07:00,2
alert@hightech.com,2017-11-16 20:08:00,2
alert@hightech.com,2017-11-16 20:09:00,2
alert@hightech.com,2017-11-16 20:12:00,2
alert@hightech.com,2017-11-16 20:17:00,2
alert@hightech.com,2017-11-16 20:20:00,2
alert@hightech.com,2017-11-16 20:28:00,2
alert@hightech.com,2017-11-16 20:37:00,2
alert@hightech.com,2017-11-16 20:46:00,2
alert@hightech.com,2017-11-16 20:55:00,2
alert@hightech.com,2017-11-16 21:13:00,2
alert@hightech.com,2017-11-16 21:18:00,2
alert@hightech.com,2017-11-16 21:21:00,2
smail@hightech.com,2017-11-28 10:24,21
smail@hightech.com,2017-11-28 10:31,21
smail@hightech.com,2017-11-28 10:40,21
smail@hightech.com,2017-11-28 10:42,28
smail@hightech.com,2017-11-28 10:44,35
ti@hightech.net,2017-11-28 10:26,3
ti@hightech.net,2017-11-28 10:27,3
ti@hightech.net,2017-11-28 10:28,4
ti@hightech.net,2017-11-28 10:29,3
ti@hightech.net,2017-11-28 10:32,4
ti@hightech.net,2017-11-28 10:40,3
ti@hightech.net,2017-11-28 10:44,4
ti@hightech.net,2017-11-28 10:45,4
ti@hightech.net,2017-11-28 11:12,3
ti@hightech.net,2017-11-28 11:24,3
ti@hightech.net,2017-11-28 12:02,3
ti@hightech.net,2017-11-28 12:03,3
work@hightech.com,2017-11-28 10:21,5
work@hightech.com,2017-11-28 10:25,6
work@hightech.com,2017-11-28 10:27,6
work@hightech.com,2017-11-28 10:29,9
work@hightech.com,2017-11-28 10:31,6
work@hightech.com,2017-11-28 10:33,5
work@hightech.com,2017-11-28 10:34,6
work@hightech.com,2017-11-28 10:35,9
work@hightech.com,2017-11-28 10:36,7
work@hightech.com,2017-11-28 10:38,7
work@hightech.com,2017-11-28 10:39,9
work@hightech.com,2017-11-28 10:40,7
work@hightech.com,2017-11-28 10:41,7
work@hightech.com,2017-11-28 10:42,9
work@hightech.com,2017-11-28 10:44,5
work@hightech.com,2017-11-28 10:45,6
work@hightech.com,2017-11-28 10:46,5
work@hightech.com,2017-11-28 10:47,6
work@hightech.com,2017-11-28 10:48,15
work@hightech.com,2017-11-28 10:49,9
work@hightech.com,2017-11-28 11:12,5
work@hightech.com,2017-11-28 11:19,5
work@hightech.com,2017-11-28 11:20,5
work@hightech.com,2017-11-28 11:21,5
work@hightech.com,2017-11-28 11:27,7
work@hightech.com,2017-11-28 11:29,6
work@hightech.com,2017-11-28 11:30,5
work@hightech.com,2017-11-28 11:31,5
work@hightech.com,2017-11-28 11:34,6
work@hightech.com,2017-11-28 11:44,5
work@hightech.com,2017-11-28 11:56,6
work@hightech.com,2017-11-28 12:03,5
work@hightech.com,2017-11-28 12:05,6
work@hightech.com,2017-11-28 12:16,7
work@hightech.com,2017-11-28 12:20,5
work@hightech.com,2017-11-28 12:25,5
work@hightech.com,2017-11-28 12:28,6
